| 中通        | FY26日均(单) | 154214.0   |
| 圆通        | FY26日均(单) | 108534.0   |
| 申通        | FY26日均(单) | 106847.0   |
| 韵达        | FY26日均(单) | 53402.0    |
| 极兔速递  | FY26日均(单) | 9948.0     |
| 汇总（中通/圆通/申通/韵达/极兔） | FY26日均(单) | 432661.0   |
| 顺丰        | FY26日均(单) | 326374.0   |
| 丹鸟        | FY26日均(单) | 8984.0     |
| 中通        | 202605截至T-1日均(单) | 108207.0   |
| 中通        | 202601日均(单) | 136640.0   |
| 中通        | 202604日均(单) | 109651.0   |
| 中通        | 202603日均(单) | 115622.0   |
| 中通        | 202602日均(单) | 92470.0    |
| 圆通        | 202605截至T-1日均(单) | 84958.0    |
| 圆通        | 202603日均(单) | 88073.0    |
| 圆通        | 202601日均(单) | 101876.0   |
| 圆通        | 202602日均(单) | 70700.0    |
| 圆通        | 202604日均(单) | 84682.0    |
| 申通        | 202605截至T-1日均(单) | 69336.0    |
| 申通        | 202604日均(单) | 63714.0    |
| 申通        | 202603日均(单) | 75911.0    |
| 申通        | 202601日均(单) | 87765.0    |
| 申通        | 202602日均(单) | 62551.0    |
| 韵达        | 202605截至T-1日均(单) | 30095.0    |
| 韵达        | 202604日均(单) | 31718.0    |
| 韵达        | 202603日均(单) | 36218.0    |
| 韵达        | 202602日均(单) | 30320.0    |
| 韵达        | 202601日均(单) | 40970.0    |
| 极兔速递  | 202605截至T-1日均(单) | 9559.0     |
| 极兔速递  | 202601日均(单) | 9113.0     |
| 极兔速递  | 202602日均(单) | 6082.0     |
| 极兔速递  | 202603日均(单) | 8000.0     |
| 极兔速递  | 202604日均(单) | 7697.0     |
| 汇总（中通/圆通/申通/韵达/极兔） | 202605截至T-1日均(单) | 301889.0   |
| 汇总（中通/圆通/申通/韵达/极兔） | 202601日均(单) | 376083.0   |
| 汇总（中通/圆通/申通/韵达/极兔） | 202602日均(单) | 261998.0   |
| 汇总（中通/圆通/申通/韵达/极兔） | 202603日均(单) | 323617.0   |
| 汇总（中通/圆通/申通/韵达/极兔） | 202604日均(单) | 297209.0   |
| 顺丰        | 202605截至T-1日均(单) | 264969.0   |
| 顺丰        | 202601日均(单) | 252113.0   |
| 顺丰        | 202602日均(单) | 214088.0   |
| 顺丰        | 202603日均(单) | 258460.0   |
| 顺丰        | 202604日均(单) | 244550.0   |
| 丹鸟        | 202605截至T-1日均(单) | 14751.0    |
| 丹鸟        | 202604日均(单) | 11947.0    |
| 丹鸟        | 202603日均(单) | 9098.0     |
| 丹鸟        | 202602日均(单) | 8060.0     |
| 丹鸟        | 202601日均(单) | 9010.0     |
| 中通        | T-1单量(20260518) | 129164.0   |
| 圆通        | T-1单量(20260518) | 92569.0    |
| 申通        | T-1单量(20260518) | 92307.0    |
| 韵达        | T-1单量(20260518) | 33389.0    |
| 极兔速递  | T-1单量(20260518) | 9391.0     |
| 汇总（中通/圆通/申通/韵达/极兔） | T-1单量(20260518) | 356612.0   |
| 顺丰        | T-1单量(20260518) | 317217.0   |
| 丹鸟        | T-1单量(20260518) | 16980.0    |
