| FY26日均  | 汇总  | 575688.0   |
| FY26日均  | 中通  | 183023.0   |
| FY26日均  | 圆通  | 125591.0   |
| FY26日均  | 申通  | 90510.0    |
| FY26日均  | 韵达  | 78060.0    |
| FY26日均  | 极兔  | 54695.0    |
| FY26日均  | 邮政  | 39893.0    |
| FY26日均  | 京东快递 | 3916.0     |
| 2026年1月 | 汇总  | 560424.0   |
| 2026年1月 | 中通  | 178258.0   |
| 2026年1月 | 圆通  | 122934.0   |
| 2026年1月 | 申通  | 89135.0    |
| 2026年1月 | 韵达  | 75946.0    |
| 2026年1月 | 极兔  | 53128.0    |
| 2026年1月 | 邮政  | 37135.0    |
| 2026年1月 | 京东快递 | 3889.0     |
| 2026年2月 | 汇总  | 502120.0   |
| 2026年2月 | 中通  | 157506.0   |
| 2026年2月 | 圆通  | 110499.0   |
| 2026年2月 | 申通  | 76892.0    |
| 2026年2月 | 韵达  | 67286.0    |
| 2026年2月 | 极兔  | 47793.0    |
| 2026年2月 | 邮政  | 37533.0    |
| 2026年2月 | 京东快递 | 4612.0     |
| 2026年3月 | 汇总  | 511142.0   |
| 2026年3月 | 中通  | 156723.0   |
| 2026年3月 | 圆通  | 110638.0   |
| 2026年3月 | 申通  | 81731.0    |
| 2026年3月 | 韵达  | 68192.0    |
| 2026年3月 | 极兔  | 50967.0    |
| 2026年3月 | 邮政  | 39009.0    |
| 2026年3月 | 京东快递 | 3881.0     |
| 2026年4月 | 汇总  | 493515.0   |
| 2026年4月 | 中通  | 156493.0   |
| 2026年4月 | 圆通  | 108429.0   |
| 2026年4月 | 申通  | 78205.0    |
| 2026年4月 | 韵达  | 66807.0    |
| 2026年4月 | 极兔  | 47788.0    |
| 2026年4月 | 邮政  | 32174.0    |
| 2026年4月 | 京东快递 | 3618.0     |
| 2026年5月 | 汇总  | 463843.0   |
| 2026年5月 | 中通  | 144471.0   |
| 2026年5月 | 圆通  | 102209.0   |
| 2026年5月 | 申通  | 74438.0    |
| 2026年5月 | 韵达  | 63618.0    |
| 2026年5月 | 极兔  | 45872.0    |
| 2026年5月 | 邮政  | 29395.0    |
| 2026年5月 | 京东快递 | 3840.0     |
| T-1(20260519) | 汇总  | 500575.0   |
| T-1(20260519) | 中通  | 152390.0   |
| T-1(20260519) | 圆通  | 110477.0   |
| T-1(20260519) | 申通  | 81330.0    |
| T-1(20260519) | 韵达  | 70903.0    |
| T-1(20260519) | 极兔  | 50506.0    |
| T-1(20260519) | 邮政  | 31287.0    |
| T-1(20260519) | 京东快递 | 3682.0     |
